service_id,date,exception_type
N01s01-Lun-Sam-1-2022H-0001110,20210911,1
N01s01-Lun-Sam-1-2022H-1111110,20210911,1
N02s01-Lun-Sam-1-2022H-1111110,20210911,1
N03s01-Lun-Sam-1-2022H-1111110,20210911,1
NUIT_01-7-jours-1-2022H-0000010,20210911,1
NUIT_01-7-jours-1-2022H-0000110,20210911,1
L_13SA21-Samedi-31-SUB2021-0000010,20210911,1
L_15SA21-Samedi-31-SUB2021-0000010,20210911,1
L_30PS21-Lun-Sam-31-SUB2021-0000010,20210911,1
L_30PS21-Lun-Sam-31-SUB2021-1111110,20210911,1
L_31PS21-Lun-Sam-31-SUB2021-0000010,20210911,1
L_31PS21-Lun-Sam-31-SUB2021-1111110,20210911,1
L_32PS21-Lun-Sam-31-SUB2021-0000010,20210911,1
L_32PS21-Lun-Sam-31-SUB2021-1111110,20210911,1
L_33PS21-Lun-Sam-31-SUB2021-0000010,20210911,1
L_33PS21-Lun-Sam-31-SUB2021-1111110,20210911,1
L_34PS21-Lun-Sam-31-SUB2021-0000010,20210911,1
L_34PS21-Lun-Sam-31-SUB2021-1111110,20210911,1
L_35PS21-Lun-Sam-31-SUB2021-0000010,20210911,1
L_35PS21-Lun-Sam-31-SUB2021-1111110,20210911,1
L_36PS21-Lun-Sam-31-SUB2021-0000010,20210911,1
L_36PS21-Lun-Sam-31-SUB2021-0010010,20210911,1
L_36PS21-Lun-Sam-31-SUB2021-1111110,20210911,1
L_37PS21-Lun-Sam-31-SUB2021-1111110,20210911,1
L_38PS21-Lun-Sam-31-SUB2021-0000010,20210911,1
L_38PS21-Lun-Sam-31-SUB2021-1111110,20210911,1
L_39PS21-Lun-Sam-31-SUB2021-0000010,20210911,1
L_39PS21-Lun-Sam-31-SUB2021-0010010,20210911,1
L_39PS21-Lun-Sam-31-SUB2021-1111110,20210911,1
L_41PS21-Lun-Sam-31-SUB2021-0000010,20210911,1
L_41PS21-Lun-Sam-31-SUB2021-1111110,20210911,1
L_42PS21-Lun-Sam-31-SUB2021-1111110,20210911,1
L_43PS21-Lun-Sam-31-SUB2021-0010010,20210911,1
L_43PS21-Lun-Sam-31-SUB2021-1111110,20210911,1
L_44PS21-Lun-Sam-31-SUB2021-0000010,20210911,1
L_44PS21-Lun-Sam-31-SUB2021-1111110,20210911,1
L_45PS21-Lun-Sam-31-SUB2021-0000010,20210911,1
L_45PS21-Lun-Sam-31-SUB2021-1111110,20210911,1
Taxi_ls-Lun-Sam-1-SCOL17-1111110,20210911,1
Di_NM_71-Dimanche-71-2022H-0000001,20210912,1
Djf_A_71-7-jours-71-2022H-1111111,20210912,1
Djf1d_71-7-jours-71-2022H-1111111,20210912,1
Djf2d_71-7-jours-71-2022H-1111111,20210912,1
Djf3d_71-7-jours-71-2022H-1111111,20210912,1
Djf412d1-7-jours-71-2022H-1111111,20210912,1
NUIT_01-7-jours-1-2022H-0000001,20210912,1
Taxi_dim-Dimanche-1-SCOL17-0000001,20210912,1
BALA_01-L-Ma-J-V-1-SCOL17-1111100,20210913,1
J_A21v01-Semaine-1-2022H-1111100,20210913,1
J01v01-Semaine-1-2022H-1111100,20210913,1
J02v01-Semaine-1-2022H-1111100,20210913,1
J03v01-Semaine-1-2022H-1111100,20210913,1
J04v01-Semaine-1-2022H-1111100,20210913,1
J05v01-Semaine-1-2022H-1111100,20210913,1
J06v01-Semaine-1-2022H-1111100,20210913,1
J07v01-Semaine-1-2022H-1111100,20210913,1
J08v01-Semaine-1-2022H-1111100,20210913,1
J09v01-Semaine-1-2022H-1111100,20210913,1
J10v01-Semaine-1-2022H-1111100,20210913,1
J11v01-Semaine-1-2022H-1111100,20210913,1
J12v01-Semaine-1-2022H-1111100,20210913,1
J14v01-Semaine-1-2022H-1111100,20210913,1
N01s01-Lun-Sam-1-2022H-1111110,20210913,1
N02s01-Lun-Sam-1-2022H-1111110,20210913,1
N03s01-Lun-Sam-1-2022H-1111110,20210913,1
